Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
402,UnH: Cla12.04,140,GRI,HIGH,0.04,6.7,2,0.0081,0.0044,NA,0,NA,NA,NA,NA
587,UnL: Anz13.04,140,GRI,HIGH,0.04,6.7,2,0.0079,0.0051,NA,0,NA,NA,NA,NA
763,A. heermannii,140,GRI,HIGH,0.04,6.7,2,0.011,0.0117,NA,0,NA,NA,NA,NA
185,Gri01.01,140,GRI,HIGH,0.04,6.7,3,0.0097,0.0057,NA,0,NA,NA,NA,NA
214,Gri01.13,140,GRI,HIGH,0.04,6.7,3,0.0129,0.0058,NA,0,NA,NA,NA,NA
455,UnH: Cla12.04,140,GRI,HIGH,0.04,6.7,3,0.0061,0.0045,NA,0,NA,NA,NA,NA
636,UnL: Anz13.04,140,GRI,HIGH,0.04,6.7,3,0.0126,0.0091,NA,0,NA,NA,NA,NA
819,A. heermannii,140,GRI,HIGH,0.04,6.7,3,0.0167,0.0115,NA,0,NA,NA,NA,NA
192,Gri01.01,140,GRI,HIGH,0.04,6.7,4,0.0142,0.0059,NA,0,NA,NA,NA,NA
221,Gri01.13,140,GRI,HIGH,0.04,6.7,4,0.0131,0.0055,NA,0,NA,NA,NA,NA
478,UnH: Cla12.04,140,GRI,HIGH,0.04,6.7,4,0.008,0.0033,NA,0,NA,NA,NA,NA
649,UnL: Anz13.04,140,GRI,HIGH,0.04,6.7,4,0.0135,0.0071,NA,0,NA,NA,NA,NA
857,A. heermannii,140,GRI,HIGH,0.04,6.7,4,0.0103,0.0104,NA,0,NA,NA,NA,NA
196,Gri01.01,140,GRI,HIGH,0.04,6.7,5,0.018,0.0103,NA,0,NA,NA,NA,NA
529,UnH: Cla12.04,140,GRI,HIGH,0.04,6.7,5,0.0022,0.0013,NA,0,NA,NA,NA,NA
897,A. heermannii,140,GRI,HIGH,0.04,6.7,5,0.0107,0.0082,NA,0,NA,NA,NA,NA
175,Gri01.01,141,GRI,HIGH,0.04,6.7,1,0.184,0.0272,935,36,0.2111,0.014705882,0.25,1
202,Gri01.13,141,GRI,HIGH,0.04,6.7,1,0.2161,0.0195,929,30,0.2867,0.014705882,0.25,1
379,UnH: Cla12.04,141,GRI,HIGH,0.04,6.7,1,0.1673,0.035,1756,55,0.1364,0.014705882,0.25,1
561,UnL: Anz13.04,141,GRI,HIGH,0.04,6.7,1,0.1384,0.0283,777,70,0.1,0.014705882,0.25,1
723,A. heermannii,141,GRI,HIGH,0.04,6.7,1,0.1968,0.0637,955,66,0.1167,0.014705882,0.25,1
180,Gri01.01,141,GRI,HIGH,0.04,6.7,2,0.0733,0.0154,309,22,0.1545,0.014705882,0.25,1
210,Gri01.13,141,GRI,HIGH,0.04,6.7,2,0.0799,0.0151,334,20,0.25,0.014705882,0.25,1
420,UnH: Cla12.04,141,GRI,HIGH,0.04,6.7,2,0.0842,0.0243,1407,58,0.1345,0.014705882,0.25,1
586,UnL: Anz13.04,141,GRI,HIGH,0.04,6.7,2,0.0966,0.0284,441,102,0.0853,0.014705882,0.25,1
781,A. heermannii,141,GRI,HIGH,0.04,6.7,2,0.0876,0.0465,533,23,0.2478,0.014705882,0.25,1
184,Gri01.01,141,GRI,HIGH,0.04,6.7,3,0.2198,0.0432,1892,48,0.2458,0.014705882,0.25,1
218,Gri01.13,141,GRI,HIGH,0.04,6.7,3,0.2753,0.0305,1271,38,0.3132,0.014705882,0.25,1
447,UnH: Cla12.04,141,GRI,HIGH,0.04,6.7,3,0.1282,0.042,3111,89,0.1067,0.014705882,0.25,1
626,UnL: Anz13.04,141,GRI,HIGH,0.04,6.7,3,0.1291,0.0362,1222,90,0.1044,0.014705882,0.25,1
826,A. heermannii,141,GRI,HIGH,0.04,6.7,3,0.1967,0.0899,1278,57,0.207,0.014705882,0.25,1
190,Gri01.01,141,GRI,HIGH,0.04,6.7,4,0.2124,0.0212,619,27,0.263,0.014705882,0.25,1
223,Gri01.13,141,GRI,HIGH,0.04,6.7,4,0.0122,0.0045,-25,9,0.1111,0.014705882,0.25,1
502,UnH: Cla12.04,141,GRI,HIGH,0.04,6.7,4,0.0981,0.017,362,46,0.0848,0.014705882,0.25,1
682,UnL: Anz13.04,141,GRI,HIGH,0.04,6.7,4,0.0969,0.0282,421,88,0.0818,0.014705882,0.25,1
862,A. heermannii,141,GRI,HIGH,0.04,6.7,4,0.1708,0.0632,931,37,0.2811,0.014705882,0.25,1
199,Gri01.01,141,GRI,HIGH,0.04,6.7,5,0.1123,0.0029,1194,24,0.1167,0.014705882,0.25,1
536,UnH: Cla12.04,141,GRI,HIGH,0.04,6.7,5,0.1293,0.0224,2709,55,0.1345,0.014705882,0.25,1
888,A. heermannii,141,GRI,HIGH,0.04,6.7,5,0.1746,0.0516,1136,65,0.1615,0.014705882,0.25,1
233,Cla10.01,142,CLA,HIGH,0.11,10.81,1,0.0504,0.0124,471,14,0.3786,0.014705882,0.0294,1
266,Cla01.04,142,CLA,HIGH,0.11,10.81,1,0.0597,0.0105,624,33,0.1182,0.014705882,0.0294,1
393,UnH: Cla12.04,142,CLA,HIGH,0.11,10.81,1,0.0486,0.0093,345,16,0.2313,0.014705882,0.0294,1
565,UnL: Anz13.04,142,CLA,HIGH,0.11,10.81,1,0.0415,0.0081,235,56,0.1,0.014705882,0.0294,1
744,A. heermannii,142,CLA,HIGH,0.11,10.81,1,0.0575,0.0193,360,31,0.1129,0.014705882,0.0294,1
239,Cla10.01,142,CLA,HIGH,0.11,10.81,2,0.1056,0.0308,1486,51,0.2235,0.014705882,0.0294,1
269,Cla01.04,142,CLA,HIGH,0.11,10.81,2,0.0925,0.0224,1252,27,0.337,0.014705882,0.0294,1
424,UnH: Cla12.04,142,CLA,HIGH,0.11,10.81,2,0.1153,0.0248,1390,42,0.2571,0.014705882,0.0294,1
590,UnL: Anz13.04,142,CLA,HIGH,0.11,10.81,2,0.0742,0.0193,474,61,0.1984,0.014705882,0.0294,1
765,A. heermannii,142,CLA,HIGH,0.11,10.81,2,0.1452,0.0638,868,99,0.1556,0.014705882,0.0294,1
248,Cla10.01,142,CLA,HIGH,0.11,10.81,3,0.108,0.0333,1313,52,0.2538,0.014705882,0.0294,1
276,Cla01.04,142,CLA,HIGH,0.11,10.81,3,0.126,0.0419,1335,50,0.278,0.014705882,0.0294,1
440,UnH: Cla12.04,142,CLA,HIGH,0.11,10.81,3,0.131,0.0296,1334,43,0.3023,0.014705882,0.0294,1
614,UnL: Anz13.04,142,CLA,HIGH,0.11,10.81,3,0.1477,0.0321,1424,107,0.1935,0.014705882,0.0294,1
798,A. heermannii,142,CLA,HIGH,0.11,10.81,3,0.1438,0.0678,678,77,0.1325,0.014705882,0.0294,1
249,Cla10.01,142,CLA,HIGH,0.11,10.81,4,0.1146,0.032,605,30,0.4433,0.014705882,0.0294,1
280,Cla01.04,142,CLA,HIGH,0.11,10.81,4,0.0883,0.0262,1536,34,0.3529,0.014705882,0.0294,1
493,UnH: Cla12.04,142,CLA,HIGH,0.11,10.81,4,0.0668,0.0146,683,37,0.2703,0.014705882,0.0294,1
650,UnL: Anz13.04,142,CLA,HIGH,0.11,10.81,4,0.0343,0.0105,213,39,0.1513,0.014705882,0.0294,1
844,A. heermannii,142,CLA,HIGH,0.11,10.81,4,0.0726,0.0327,328,29,0.2345,0.014705882,0.0294,1
257,Cla10.01,142,CLA,HIGH,0.11,10.81,5,0.1372,0.0279,1105,67,0.1836,0.014705882,0.0294,1
288,Cla01.04,142,CLA,HIGH,0.11,10.81,5,0.134,0.0316,1970,39,0.2359,0.014705882,0.0294,1
512,UnH: Cla12.04,142,CLA,HIGH,0.11,10.81,5,0.1119,0.025,1655,110,0.1018,0.014705882,0.0294,1
871,A. heermannii,142,CLA,HIGH,0.11,10.81,5,0.1798,0.0645,1870,176,0.1017,0.014705882,0.0294,1
236,Cla10.01,143,CLA,HIGH,0.11,10.81,1,0.0453,0.0127,427,8,0.2875,0.161764706,0.0147,1
265,Cla01.04,143,CLA,HIGH,0.11,10.81,1,0.0267,0.0069,246,12,0.1833,0.161764706,0.0147,1
361,UnH: Cla12.04,143,CLA,HIGH,0.11,10.81,1,0.0415,0.0097,294,14,0.2357,0.161764706,0.0147,1
549,UnL: Anz13.04,143,CLA,HIGH,0.11,10.81,1,0.0424,0.0112,262,27,0.1296,0.161764706,0.0147,1
736,A. heermannii,143,CLA,HIGH,0.11,10.81,1,0.0497,0.019,311,15,0.1667,0.161764706,0.0147,1
241,Cla10.01,143,CLA,HIGH,0.11,10.81,2,0.0696,0.0198,940,35,0.1971,0.161764706,0.0147,1
268,Cla01.04,143,CLA,HIGH,0.11,10.81,2,0.0678,0.0214,949,52,0.1558,0.161764706,0.0147,1
398,UnH: Cla12.04,143,CLA,HIGH,0.11,10.81,2,0.0784,0.0247,997,54,0.1593,0.161764706,0.0147,1
603,UnL: Anz13.04,143,CLA,HIGH,0.11,10.81,2,0.0675,0.0203,439,53,0.1755,0.161764706,0.0147,1
788,A. heermannii,143,CLA,HIGH,0.11,10.81,2,0.126,0.0449,691,49,0.1959,0.161764706,0.0147,1
243,Cla10.01,143,CLA,HIGH,0.11,10.81,3,0.1338,0.0334,1572,52,0.2,0.161764706,0.0147,1
273,Cla01.04,143,CLA,HIGH,0.11,10.81,3,0.1071,0.0276,1051,60,0.125,0.161764706,0.0147,1
446,UnH: Cla12.04,143,CLA,HIGH,0.11,10.81,3,0.0784,0.0205,783,80,0.1088,0.161764706,0.0147,1
615,UnL: Anz13.04,143,CLA,HIGH,0.11,10.81,3,0.0794,0.021,751,53,0.1434,0.161764706,0.0147,1
804,A. heermannii,143,CLA,HIGH,0.11,10.81,3,0.1403,0.0534,612,41,0.1854,0.161764706,0.0147,1
253,Cla10.01,143,CLA,HIGH,0.11,10.81,4,0.1251,0.0254,624,44,0.2091,0.161764706,0.0147,1
281,Cla01.04,143,CLA,HIGH,0.11,10.81,4,0.0988,0.0255,1676,68,0.1368,0.161764706,0.0147,1
491,UnH: Cla12.04,143,CLA,HIGH,0.11,10.81,4,0.1265,0.0273,1379,53,0.1604,0.161764706,0.0147,1
677,UnL: Anz13.04,143,CLA,HIGH,0.11,10.81,4,0.0396,0.0123,263,41,0.1244,0.161764706,0.0147,1
845,A. heermannii,143,CLA,HIGH,0.11,10.81,4,0.1717,0.0619,850,62,0.2468,0.161764706,0.0147,1
258,Cla10.01,143,CLA,HIGH,0.11,10.81,5,0.0829,0.0277,707,48,0.1708,0.161764706,0.0147,1
286,Cla01.04,143,CLA,HIGH,0.11,10.81,5,0.1316,0.0331,1959,60,0.1233,0.161764706,0.0147,1
507,UnH: Cla12.04,143,CLA,HIGH,0.11,10.81,5,0.0835,0.0129,1136,92,0.0707,0.161764706,0.0147,1
889,A. heermannii,143,CLA,HIGH,0.11,10.81,5,0.1233,0.0535,1326,89,0.118,0.161764706,0.0147,1
231,Cla10.01,144,CLA,HIGH,0.11,10.81,1,0.0829,0.0205,840,34,0.1441,0.014705882,0.0735,1
262,Cla01.04,144,CLA,HIGH,0.11,10.81,1,0.0904,0.0178,1015,34,0.1294,0.014705882,0.0735,1
370,UnH: Cla12.04,144,CLA,HIGH,0.11,10.81,1,0.114,0.0181,916,38,0.1211,0.014705882,0.0735,1
542,UnL: Anz13.04,144,CLA,HIGH,0.11,10.81,1,0.1226,0.0244,893,59,0.1153,0.014705882,0.0735,1
733,A. heermannii,144,CLA,HIGH,0.11,10.81,1,0.1948,0.0483,1356,63,0.1635,0.014705882,0.0735,1
240,Cla10.01,144,CLA,HIGH,0.11,10.81,2,0.1592,0.0374,2186,73,0.1507,0.014705882,0.0735,1
267,Cla01.04,144,CLA,HIGH,0.11,10.81,2,0.1168,0.0347,1682,69,0.1333,0.014705882,0.0735,1
432,UnH: Cla12.04,144,CLA,HIGH,0.11,10.81,2,0.1055,0.0299,1340,46,0.163,0.014705882,0.0735,1
597,UnL: Anz13.04,144,CLA,HIGH,0.11,10.81,2,0.1177,0.0374,852,71,0.1282,0.014705882,0.0735,1
789,A. heermannii,144,CLA,HIGH,0.11,10.81,2,0.1988,0.0768,1176,50,0.204,0.014705882,0.0735,1
246,Cla10.01,144,CLA,HIGH,0.11,10.81,3,0.1019,0.034,1259,42,0.181,0.014705882,0.0735,1
274,Cla01.04,144,CLA,HIGH,0.11,10.81,3,0.1061,0.0367,1121,46,0.1348,0.014705882,0.0735,1
435,UnH: Cla12.04,144,CLA,HIGH,0.11,10.81,3,0.0506,0.0205,535,25,0.152,0.014705882,0.0735,1
613,UnL: Anz13.04,144,CLA,HIGH,0.11,10.81,3,0.0492,0.0145,440,30,0.16,0.014705882,0.0735,1
800,A. heermannii,144,CLA,HIGH,0.11,10.81,3,0.0826,0.0393,348,39,0.1538,0.014705882,0.0735,1
250,Cla10.01,144,CLA,HIGH,0.11,10.81,4,0.233,0.0468,1245,66,0.1758,0.014705882,0.0735,1
279,Cla01.04,144,CLA,HIGH,0.11,10.81,4,0.1194,0.0296,2029,67,0.1328,0.014705882,0.0735,1
476,UnH: Cla12.04,144,CLA,HIGH,0.11,10.81,4,0.1423,0.0342,1597,50,0.148,0.014705882,0.0735,1
664,UnL: Anz13.04,144,CLA,HIGH,0.11,10.81,4,0.1075,0.0316,873,83,0.1084,0.014705882,0.0735,1
833,A. heermannii,144,CLA,HIGH,0.11,10.81,4,0.1176,0.0649,642,68,0.125,0.014705882,0.0735,1
255,Cla10.01,144,CLA,HIGH,0.11,10.81,5,0.1636,0.0283,1301,80,0.11,0.014705882,0.0735,1
285,Cla01.04,144,CLA,HIGH,0.11,10.81,5,0.1647,0.0434,2501,86,0.1081,0.014705882,0.0735,1
520,UnH: Cla12.04,144,CLA,HIGH,0.11,10.81,5,0.1209,0.0315,1854,85,0.0929,0.014705882,0.0735,1
883,A. heermannii,144,CLA,HIGH,0.11,10.81,5,0.1665,0.0684,1794,51,0.1804,0.014705882,0.0735,1
234,Cla10.01,145,CLA,HIGH,0.11,10.81,1,0.0718,0.0142,682,58,0.0966,0.058823529,0.0294,2
263,Cla01.04,145,CLA,HIGH,0.11,10.81,1,0.0513,0.0095,527,60,0.0567,0.058823529,0.0294,2
374,UnH: Cla12.04,145,CLA,HIGH,0.11,10.81,1,0.0469,0.0128,359,51,0.0902,0.058823529,0.0294,2
566,UnL: Anz13.04,145,CLA,HIGH,0.11,10.81,1,0.0879,0.0155,599,65,0.0831,0.058823529,0.0294,2
745,A. heermannii,145,CLA,HIGH,0.11,10.81,1,0.1022,0.0357,726,48,0.0854,0.058823529,0.0294,2
238,Cla10.01,145,CLA,HIGH,0.11,10.81,2,0.0773,0.0224,1059,75,0.104,0.058823529,0.0294,2
270,Cla01.04,145,CLA,HIGH,0.11,10.81,2,0.0528,0.0138,684,78,0.0705,0.058823529,0.0294,2
430,UnH: Cla12.04,145,CLA,HIGH,0.11,10.81,2,0.0416,0.0149,501,102,0.049,0.058823529,0.0294,2
596,UnL: Anz13.04,145,CLA,HIGH,0.11,10.81,2,0.0755,0.0215,495,124,0.0524,0.058823529,0.0294,2
766,A. heermannii,145,CLA,HIGH,0.11,10.81,2,0.1351,0.0459,738,157,0.065,0.058823529,0.0294,2
245,Cla10.01,145,CLA,HIGH,0.11,10.81,3,0.0684,0.0245,829,56,0.1375,0.058823529,0.0294,2
277,Cla01.04,145,CLA,HIGH,0.11,10.81,3,0.0562,0.0184,538,54,0.1093,0.058823529,0.0294,2
450,UnH: Cla12.04,145,CLA,HIGH,0.11,10.81,3,0.0366,0.0171,379,39,0.1128,0.058823529,0.0294,2
627,UnL: Anz13.04,145,CLA,HIGH,0.11,10.81,3,0.0283,0.0096,221,44,0.0727,0.058823529,0.0294,2
802,A. heermannii,145,CLA,HIGH,0.11,10.81,3,0.064,0.0358,267,44,0.0886,0.058823529,0.0294,2
251,Cla10.01,145,CLA,HIGH,0.11,10.81,4,0.071,0.0201,338,76,0.0961,0.058823529,0.0294,2
284,Cla01.04,145,CLA,HIGH,0.11,10.81,4,0.0562,0.0169,944,59,0.0864,0.058823529,0.0294,2
480,UnH: Cla12.04,145,CLA,HIGH,0.11,10.81,4,0.0835,0.0255,948,51,0.1176,0.058823529,0.0294,2
657,UnL: Anz13.04,145,CLA,HIGH,0.11,10.81,4,0.0002,0.0009,-92,0,NA,0.058823529,0.0294,2
847,A. heermannii,145,CLA,HIGH,0.11,10.81,4,0.0878,0.037,407,43,0.0977,0.058823529,0.0294,2
259,Cla10.01,145,CLA,HIGH,0.11,10.81,5,0.0606,0.0118,428,75,0.0907,0.058823529,0.0294,2
287,Cla01.04,145,CLA,HIGH,0.11,10.81,5,0.1271,0.0284,1844,122,0.0615,0.058823529,0.0294,2
515,UnH: Cla12.04,145,CLA,HIGH,0.11,10.81,5,0.1019,0.0225,1495,121,0.0719,0.058823529,0.0294,2
874,A. heermannii,145,CLA,HIGH,0.11,10.81,5,0.1474,0.0527,1514,169,0.0556,0.058823529,0.0294,2
235,Cla10.01,146,CLA,HIGH,0.11,10.81,1,0.0472,0.0161,475,26,0.2308,0.014705882,0.1912,1
264,Cla01.04,146,CLA,HIGH,0.11,10.81,1,0.0417,0.0167,502,12,0.55,0.014705882,0.1912,1
368,UnH: Cla12.04,146,CLA,HIGH,0.11,10.81,1,0.0561,0.0135,435,19,0.2316,0.014705882,0.1912,1
547,UnL: Anz13.04,146,CLA,HIGH,0.11,10.81,1,0.0694,0.0117,448,49,0.1653,0.014705882,0.1912,1
729,A. heermannii,146,CLA,HIGH,0.11,10.81,1,0.0851,0.0356,623,18,0.4444,0.014705882,0.1912,1
237,Cla10.01,146,CLA,HIGH,0.11,10.81,2,0.0703,0.0243,1000,47,0.1702,0.014705882,0.1912,1
271,Cla01.04,146,CLA,HIGH,0.11,10.81,2,0.0675,0.0203,933,42,0.1738,0.014705882,0.1912,1
407,UnH: Cla12.04,146,CLA,HIGH,0.11,10.81,2,0.0987,0.0288,1256,59,0.1864,0.014705882,0.1912,1
612,UnL: Anz13.04,146,CLA,HIGH,0.11,10.81,2,0.0705,0.0201,456,59,0.1847,0.014705882,0.1912,1
759,A. heermannii,146,CLA,HIGH,0.11,10.81,2,0.0945,0.0469,555,56,0.2071,0.014705882,0.1912,1
247,Cla10.01,146,CLA,HIGH,0.11,10.81,3,0.1188,0.0271,1359,60,0.195,0.014705882,0.1912,1
275,Cla01.04,146,CLA,HIGH,0.11,10.81,3,0.1304,0.034,1305,91,0.1692,0.014705882,0.1912,1
442,UnH: Cla12.04,146,CLA,HIGH,0.11,10.81,3,0.08,0.0219,810,39,0.2103,0.014705882,0.1912,1
635,UnL: Anz13.04,146,CLA,HIGH,0.11,10.81,3,0.082,0.0215,777,48,0.1771,0.014705882,0.1912,1
813,A. heermannii,146,CLA,HIGH,0.11,10.81,3,0.1177,0.0558,538,53,0.2132,0.014705882,0.1912,1
254,Cla10.01,146,CLA,HIGH,0.11,10.81,4,0.1327,0.0248,657,51,0.2804,0.014705882,0.1912,1
283,Cla01.04,146,CLA,HIGH,0.11,10.81,4,0.1368,0.03,2283,65,0.1523,0.014705882,0.1912,1
504,UnH: Cla12.04,146,CLA,HIGH,0.11,10.81,4,0.0952,0.0197,1005,34,0.2235,0.014705882,0.1912,1
679,UnL: Anz13.04,146,CLA,HIGH,0.11,10.81,4,0.0343,0.0072,190,32,0.0844,0.014705882,0.1912,1
853,A. heermannii,146,CLA,HIGH,0.11,10.81,4,0.1211,0.057,624,60,0.2467,0.014705882,0.1912,1
260,Cla10.01,146,CLA,HIGH,0.11,10.81,5,0.1611,0.0335,1320,56,0.1714,0.014705882,0.1912,1
290,Cla01.04,146,CLA,HIGH,0.11,10.81,5,0.1394,0.0307,2026,32,0.3219,0.014705882,0.1912,1
511,UnH: Cla12.04,146,CLA,HIGH,0.11,10.81,5,0.1184,0.0267,1760,49,0.102,0.014705882,0.1912,1
887,A. heermannii,146,CLA,HIGH,0.11,10.81,5,0.1616,0.0515,1619,57,0.1772,0.014705882,0.1912,1
296,UCR02.07,147,UCR,HIGH,0.07,20.47,1,0.0833,0.026,859,28,0.2929,0.011363636,0.0526,1
331,UCR09.05,147,UCR,HIGH,0.07,20.47,1,0.0812,0.0236,665,37,0.1784,0.011363636,0.0526,1
394,UnH: Cla12.04,147,UCR,HIGH,0.07,20.47,1,0.0398,0.0113,192,32,0.225,0.011363636,0.0526,1
567,UnL: Anz13.04,147,UCR,HIGH,0.07,20.47,1,0.0969,0.0253,527,65,0.1369,0.011363636,0.0526,1
732,A. heermannii,147,UCR,HIGH,0.07,20.47,1,0.0976,0.0409,350,51,0.2314,0.011363636,0.0526,1
303,UCR02.07,147,UCR,HIGH,0.07,20.47,2,0.0983,0.0323,743,53,0.166,0.011363636,0.0526,1
339,UCR09.05,147,UCR,HIGH,0.07,20.47,2,0.0089,0.002,9,5,NA,0.011363636,0.0526,1
399,UnH: Cla12.04,147,UCR,HIGH,0.07,20.47,2,0.0849,0.023,2897,71,0.1676,0.011363636,0.0526,1
607,UnL: Anz13.04,147,UCR,HIGH,0.07,20.47,2,0.0834,0.0256,382,50,0.184,0.011363636,0.0526,1
791,A. heermannii,147,UCR,HIGH,0.07,20.47,2,0.1579,0.0477,722,72,0.1208,0.011363636,0.0526,1
307,UCR02.07,147,UCR,HIGH,0.07,20.47,3,0.0383,0.0224,640,41,0.1927,0.011363636,0.0526,1
344,UCR09.05,147,UCR,HIGH,0.07,20.47,3,0.0116,0.0026,49,7,0.0143,0.011363636,0.0526,1
436,UnH: Cla12.04,147,UCR,HIGH,0.07,20.47,3,0.0489,0.015,788,57,0.2018,0.011363636,0.0526,1
643,UnL: Anz13.04,147,UCR,HIGH,0.07,20.47,3,0.0422,0.0165,470,25,0.18,0.011363636,0.0526,1
803,A. heermannii,147,UCR,HIGH,0.07,20.47,3,0.0803,0.0293,357,50,0.194,0.011363636,0.0526,1
312,UCR02.07,147,UCR,HIGH,0.07,20.47,4,0.0614,0.016,8,32,0.1844,0.011363636,0.0526,1
353,UCR09.05,147,UCR,HIGH,0.07,20.47,4,0.0839,0.0247,1224,58,0.1448,0.011363636,0.0526,1
474,UnH: Cla12.04,147,UCR,HIGH,0.07,20.47,4,0.0397,0.0076,203,46,0.1391,0.011363636,0.0526,1
676,UnL: Anz13.04,147,UCR,HIGH,0.07,20.47,4,DEAD,DEAD,NA,NA,NA,NA,NA,NA
838,A. heermannii,147,UCR,HIGH,0.07,20.47,4,0.1027,0.0476,609,72,0.1917,0.011363636,0.0526,1
320,UCR02.07,147,UCR,HIGH,0.07,20.47,5,0.0957,0.0274,1854,58,0.1776,0.011363636,0.0526,1
354,UCR09.05,147,UCR,HIGH,0.07,20.47,5,0.0776,0.026,1627,37,0.173,0.011363636,0.0526,1
510,UnH: Cla12.04,147,UCR,HIGH,0.07,20.47,5,0.0914,0.0212,1442,71,0.1535,0.011363636,0.0526,1
885,A. heermannii,147,UCR,HIGH,0.07,20.47,5,0.1793,0.0572,1316,68,0.1676,0.011363636,0.0526,1
293,UCR02.07,148,UCR,HIGH,0.07,20.47,1,0.0084,0.0057,NA,0,NA,NA,NA,NA
326,UCR09.05,148,UCR,HIGH,0.07,20.47,1,0.0065,0.0060,NA,0,NA,NA,NA,NA
396,UnH: Cla12.04,148,UCR,HIGH,0.07,20.47,1,0.0085,0.0050,NA,0,NA,NA,NA,NA
563,UnL: Anz13.04,148,UCR,HIGH,0.07,20.47,1,0.0122,0.0057,NA,0,NA,NA,NA,NA
726,A. heermannii,148,UCR,HIGH,0.07,20.47,1,0.0133,0.0102,NA,0,NA,NA,NA,NA
302,UCR02.07,148,UCR,HIGH,0.07,20.47,2,0.0068,0.0046,NA,0,NA,NA,NA,NA
333,UCR09.05,148,UCR,HIGH,0.07,20.47,2,0.006,0.0057,NA,0,NA,NA,NA,NA
413,UnH: Cla12.04,148,UCR,HIGH,0.07,20.47,2,0.0046,0.0021,NA,0,NA,NA,NA,NA
604,UnL: Anz13.04,148,UCR,HIGH,0.07,20.47,2,0.0144,0.0109,NA,0,NA,NA,NA,NA
774,A. heermannii,148,UCR,HIGH,0.07,20.47,2,0.0099,0.0128,NA,0,NA,NA,NA,NA
311,UCR02.07,148,UCR,HIGH,0.07,20.47,3,0.0044,0.0047,NA,0,NA,NA,NA,NA
342,UCR09.05,148,UCR,HIGH,0.07,20.47,3,0.001,0.0016,NA,0,NA,NA,NA,NA
451,UnH: Cla12.04,148,UCR,HIGH,0.07,20.47,3,0.0038,0.0021,NA,0,NA,NA,NA,NA
641,UnL: Anz13.04,148,UCR,HIGH,0.07,20.47,3,0.0066,0.0033,NA,0,NA,NA,NA,NA
814,A. heermannii,148,UCR,HIGH,0.07,20.47,3,0.0106,0.0127,NA,0,NA,NA,NA,NA
318,UCR02.07,148,UCR,HIGH,0.07,20.47,4,0.0082,0.0062,NA,0,NA,NA,NA,NA
351,UCR09.05,148,UCR,HIGH,0.07,20.47,4,0.0061,0.0048,NA,0,NA,NA,NA,NA
481,UnH: Cla12.04,148,UCR,HIGH,0.07,20.47,4,0.0054,0.0028,NA,0,NA,NA,NA,NA
666,UnL: Anz13.04,148,UCR,HIGH,0.07,20.47,4,0.0086,0.0055,NA,0,NA,NA,NA,NA
832,A. heermannii,148,UCR,HIGH,0.07,20.47,4,0.0157,0.0111,NA,0,NA,NA,NA,NA
322,UCR02.07,148,UCR,HIGH,0.07,20.47,5,0.0046,0.0043,NA,0,NA,NA,NA,NA
356,UCR09.05,148,UCR,HIGH,0.07,20.47,5,0.0085,0.0079,NA,0,NA,NA,NA,NA
505,UnH: Cla12.04,148,UCR,HIGH,0.07,20.47,5,0.0035,0.0025,NA,0,NA,NA,NA,NA
899,A. heermannii,148,UCR,HIGH,0.07,20.47,5,0.0077,0.0089,NA,0,NA,NA,NA,NA
297,UCR02.07,149,UCR,HIGH,0.07,20.47,1,0.0504,0.0137,462,9,0.8667,0.011363636,0.0526,1
329,UCR09.05,149,UCR,HIGH,0.07,20.47,1,0.0075,0.0057,NA,0,NA,NA,NA,NA
389,UnH: Cla12.04,149,UCR,HIGH,0.07,20.47,1,0.0425,0.0104,202,23,0.3609,0.011363636,0.0526,1
548,UnL: Anz13.04,149,UCR,HIGH,0.07,20.47,1,0.0352,0.0108,136,6,1.7333,0.011363636,0.0526,1
742,A. heermannii,149,UCR,HIGH,0.07,20.47,1,0.0705,0.0252,211,26,0.3,0.011363636,0.0526,1
298,UCR02.07,149,UCR,HIGH,0.07,20.47,2,0.0753,0.0324,595,9,0.6556,0.011363636,0.0526,1
337,UCR09.05,149,UCR,HIGH,0.07,20.47,2,0.062,0.0248,768,15,0.3733,0.011363636,0.0526,1
416,UnH: Cla12.04,149,UCR,HIGH,0.07,20.47,2,0.0087,0.0026,214,16,0.0938,0.011363636,0.0526,1
579,UnL: Anz13.04,149,UCR,HIGH,0.07,20.47,2,0.0158,0.0104,16,0,NA,0.011363636,0.0526,1
780,A. heermannii,149,UCR,HIGH,0.07,20.47,2,0.0408,0.0147,122,3,1.6667,0.011363636,0.0526,1
308,UCR02.07,149,UCR,HIGH,0.07,20.47,3,0.0201,0.0114,284,2,0.05,0.011363636,0.0526,1
346,UCR09.05,149,UCR,HIGH,0.07,20.47,3,0.0432,0.0208,574,23,0.1522,0.011363636,0.0526,1
459,UnH: Cla12.04,149,UCR,HIGH,0.07,20.47,3,0.0412,0.0109,624,32,0.2125,0.011363636,0.0526,1
