Table S4  Raw inoculation experiment data - all surviving plants. Nitrogen data from Regus et al 2014. Local chromosomal (CHR) and symbiosis island (SI) abundance is represented as a proportion of the total nodulating isolates in a given population. Full genome abundance is not a proportion.,,,,,,,,,,,,,,,
Plant #,Host Line,Strain,Population,N history,Total N (%),Mineral N (ppm),Block,Shoots mass (g),Roots mass (g),Relative Growth,Total nodules,Mean individual  nodule biomass (mg),CHR local abundance,SI local abunance,full genome local abundance
34,BMR07.03,134,BMR,LOW,0.01,4.08,1,0.1032,0.0232,971,13,1.2308,0.160583942,0.1389,14
385,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,1,0.1206,0.0326,1177,47,0.1872,0.160583942,0.1389,14
571,UnL: Anz13.04,134,BMR,LOW,0.01,4.08,1,0.0808,0.0174,468,83,0.1181,0.160583942,0.1389,14
731,A. heermannii,134,BMR,LOW,0.01,4.08,1,0.1321,0.0588,649,55,0.2073,0.160583942,0.1389,14
8,BMR01.03,134,BMR,LOW,0.01,4.08,2,0.1044,0.0353,2751,26,0.5346,0.160583942,0.1389,14
39,BMR07.03,134,BMR,LOW,0.01,4.08,2,0.1252,0.0309,1169,31,0.5129,0.160583942,0.1389,14
406,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,2,0.0046,0.0027,3,0,NA,0.160583942,0.1389,14
591,UnL: Anz13.04,134,BMR,LOW,0.01,4.08,2,0.0112,0.0048,-55,0,NA,0.160583942,0.1389,14
761,A. heermannii,134,BMR,LOW,0.01,4.08,2,0.235,0.0637,1155,78,0.1782,0.160583942,0.1389,14
13,BMR01.03,134,BMR,LOW,0.01,4.08,3,0.0789,0.0247,1319,39,0.2744,0.160583942,0.1389,14
47,BMR07.03,134,BMR,LOW,0.01,4.08,3,0.1459,0.0525,1790,99,0.2202,0.160583942,0.1389,14
448,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,3,0.0799,0.0242,855,50,0.13,0.160583942,0.1389,14
645,UnL: Anz13.04,134,BMR,LOW,0.01,4.08,3,0.0919,0.0268,414,78,0.1256,0.160583942,0.1389,14
799,A. heermannii,134,BMR,LOW,0.01,4.08,3,0.13,0.0548,560,53,0.117,0.160583942,0.1389,14
19,BMR01.03,134,BMR,LOW,0.01,4.08,4,0.1168,0.0311,1749,39,0.2359,0.160583942,0.1389,14
54,BMR07.03,134,BMR,LOW,0.01,4.08,4,0.1551,0.0499,3375,55,0.3127,0.160583942,0.1389,14
477,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,4,0.1682,0.0331,3771,87,0.1609,0.160583942,0.1389,14
662,UnL: Anz13.04,134,BMR,LOW,0.01,4.08,4,0.1076,0.0245,509,106,0.0755,0.160583942,0.1389,14
839,A. heermannii,134,BMR,LOW,0.01,4.08,4,0.2171,0.0991,1816,66,0.2848,0.160583942,0.1389,14
28,BMR01.03,134,BMR,LOW,0.01,4.08,5,0.0417,0.0185,385,18,0.2833,0.160583942,0.1389,14
59,BMR07.03,134,BMR,LOW,0.01,4.08,5,0.0457,0.0223,467,15,0.26,0.160583942,0.1389,14
523,UnH: Cla12.04,134,BMR,LOW,0.01,4.08,5,0.0301,0.0128,347,28,0.1,0.160583942,0.1389,14
894,A. heermannii,134,BMR,LOW,0.01,4.08,5,0.0592,0.0294,324,21,0.1619,0.160583942,0.1389,14
3,BMR01.03,135,BMR,LOW,0.01,4.08,1,0.1385,0.0281,3167,32,0.2594,0.00729927,0.0185,1
33,BMR07.03,135,BMR,LOW,0.01,4.08,1,0.1416,0.0309,1362,59,0.1593,0.00729927,0.0185,1
365,UnH: Cla12.04,135,BMR,LOW,0.01,4.08,1,0.125,0.025,1150,52,0.125,0.00729927,0.0185,1
541,UnL: Anz13.04,135,BMR,LOW,0.01,4.08,1,0.1144,0.0318,745,66,0.0894,0.00729927,0.0185,1
741,A. heermannii,135,BMR,LOW,0.01,4.08,1,0.1588,0.0574,748,66,0.1515,0.00729927,0.0185,1
9,BMR01.03,135,BMR,LOW,0.01,4.08,2,0.0675,0.0277,1843,24,0.2333,0.00729927,0.0185,1
37,BMR07.03,135,BMR,LOW,0.01,4.08,2,0.065,0.0197,589,33,0.1606,0.00729927,0.0185,1
408,UnH: Cla12.04,135,BMR,LOW,0.01,4.08,2,0.0903,0.024,1510,61,0.1197,0.00729927,0.0185,1
581,UnL: Anz13.04,135,BMR,LOW,0.01,4.08,2,0.0517,0.0196,100,56,0.1339,0.00729927,0.0185,1
760,A. heermannii,135,BMR,LOW,0.01,4.08,2,0.1292,0.0637,711,88,0.1091,0.00729927,0.0185,1
18,BMR01.03,135,BMR,LOW,0.01,4.08,3,0.1108,0.0314,1848,59,0.1661,0.00729927,0.0185,1
43,BMR07.03,135,BMR,LOW,0.01,4.08,3,0.1136,0.0343,1309,77,0.1558,0.00729927,0.0185,1
452,UnH: Cla12.04,135,BMR,LOW,0.01,4.08,3,0.0059,0.0016,-31,0,NA,0.00729927,0.0185,1
638,UnL: Anz13.04,135,BMR,LOW,0.01,4.08,3,0.1365,0.0374,653,84,0.1036,0.00729927,0.0185,1
793,A. heermannii,135,BMR,LOW,0.01,4.08,3,0.1548,0.0618,674,66,0.1409,0.00729927,0.0185,1
21,BMR01.03,135,BMR,LOW,0.01,4.08,4,0.1189,0.0317,1783,75,0.1147,0.00729927,0.0185,1
51,BMR07.03,135,BMR,LOW,0.01,4.08,4,0.2124,0.0698,4683,180,0.1167,0.00729927,0.0185,1
469,UnH: Cla12.04,135,BMR,LOW,0.01,4.08,4,0.1359,0.0257,3008,68,0.0985,0.00729927,0.0185,1
673,UnL: Anz13.04,135,BMR,LOW,0.01,4.08,4,0.0555,0.0126,214,45,0.0956,0.00729927,0.0185,1
858,A. heermannii,135,BMR,LOW,0.01,4.08,4,0.1984,0.083,1605,142,0.0873,0.00729927,0.0185,1
30,BMR01.03,135,BMR,LOW,0.01,4.08,5,0.0416,0.0164,368,31,0.1419,0.00729927,0.0185,1
58,BMR07.03,135,BMR,LOW,0.01,4.08,5,0.0572,0.0351,669,23,0.2,0.00729927,0.0185,1
506,UnH: Cla12.04,135,BMR,LOW,0.01,4.08,5,0.0669,0.0276,884,66,0.0879,0.00729927,0.0185,1
873,A. heermannii,135,BMR,LOW,0.01,4.08,5,0.0636,0.0377,385,71,0.0563,0.00729927,0.0185,1
2,BMR01.03,136,BMR,LOW,0.01,4.08,1,0.0619,0.0182,1471,12,0.5333,0.138686131,0.1111,9
32,BMR07.03,136,BMR,LOW,0.01,4.08,1,0.0448,0.0177,430,13,0.5385,0.138686131,0.1111,9
363,UnH: Cla12.04,136,BMR,LOW,0.01,4.08,1,0.0987,0.0234,918,44,0.1659,0.138686131,0.1111,9
553,UnL: Anz13.04,136,BMR,LOW,0.01,4.08,1,0.078,0.0187,459,65,0.0892,0.138686131,0.1111,9
750,A. heermannii,136,BMR,LOW,0.01,4.08,1,0.0948,0.042,436,33,0.2394,0.138686131,0.1111,9
